오름명,행정시,소재지,비고,표고,면적,형태,데이터기준일자
가마오름,제주시,제주특별자치도 제주시 한경면 청수리 1202,51,140.5,154486,말굽형(북동향),2022-02-14
가메오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산124,17,372.2,28371,복합형,2022-02-14
가메옥,제주시,제주특별자치도 제주시 구좌읍 송당리 1712,28,368,22764,복합형,2022-02-14
가메창,제주시,제주특별자치도 제주시 한경면 저지리 1496,6,145.8,17037,원형,2022-02-14
가문이오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158-2,106,496.2,116176,말굽형(남서향),2022-02-14
가새기오름,제주시,제주특별자치도 제주시 오라동 산2838,20,115,17198,원추형,2022-02-14
가세오름,서귀포시,제주특별자치도 서귀포시 표선면 토산리 산2,101,200.5,373099,말굽형(서향),2022-02-14
가시오름,서귀포시,제주특별자치도 서귀포시 대정읍 동일리 1209,77,106.5,263863,말굽형(남서향),2022-02-14
각시바위,서귀포시,제주특별자치도 서귀포시 호근동 2112,140,395,585988,원추형,2022-02-14
감낭오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산41,45,439.8,117413,말굽형(북동향),2022-02-14
감은이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산 297,37,317.2,144548,원형,2022-02-14
갑선이오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산 2,83,188.2,252799,말굽형(서남향),2022-02-14
개오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 2974,130,344.7,338028,원추형,2022-02-14
개오리오름,제주시,제주특별자치도 제주시 봉개동 산78-1,117,743,640913,복합형,2022-02-14
갯거리오름,서귀포시,제주특별자치도 서귀포시 대포동 산1-8,38,708.4,64003,원추형,2022-02-14
갯거리오름,제주시,제주특별자치도 제주시 한림읍 명월리 15,69,253.5,123623,말굽형(서향),2022-02-14
거린(족은)오름,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,123,493.2,315285,말굽형(남동향),2022-02-14
거린(큰)오름,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,153,532.7,369143,말굽형(북서향),2022-02-14
거린사슴,서귀포시,제주특별자치도 서귀포시 대포동 산 2-1,103,742.9,286247,말굽형(서향),2022-02-14
거린오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산94,68,298.2,247021,원추형,2022-02-14
거문오름,제주시,제주특별자치도 제주시 조천읍 선흘리 산102-1,112,456.6,809860,복합형,2022-02-14
거미오름,제주시,제주특별자치도 제주시 구좌읍 종달리 산70,115,340,466283,복합형,2022-02-14
거슨세미,제주시,제주특별자치도 제주시 구좌읍 송당리 산145,125,380,661438,말굽형(서향),2022-02-14
거친오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산84-2,70,354.6,197468,복합형,2022-02-14
거친오름,제주시,제주특별자치도 제주시 봉개동 산66,154,618.5,493952,말굽형(북향),2022-02-14
걸리오름,서귀포시,제주특별자치도 서귀포시 성산읍 신풍리 1575,14,123.8,11449,원추형,2022-02-14
걸서악(동걸세),서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산124,48,158,58199,원추형,2022-02-14
걸서악(서걸세),서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산124,50,150,69970,원추형,2022-02-14
걸시오름,제주시,제주특별자치도 제주시 연동 산150,82,732.4,277449,말굽형(북향),2022-02-14
검은덕이,제주시,제주특별자치도 제주시 애월읍 소길리 산118,52,401.5,57156,원추형,2022-02-14
검은들먹오름,제주시,제주특별자치도 제주시 애월읍 어도리 산1,87,712.4,120797,말굽형(북향),2022-02-14
검은오름,제주시,제주특별자치도 제주시 연동 산110,129,438.8,702094,말굽형(북향),2022-02-14
고근산,서귀포시,제주특별자치도 서귀포시 서호동 1286-1,171,396.2,1204428,원형,2022-02-14
고내봉,제주시,제주특별자치도 제주시 애월읍 고내리 산3-1,135,175.3,739484,복합형,2022-02-14
고냉이슬,제주시,제주특별자치도 제주시 봉개동 165,69,304.5,1136315,원형,2022-02-14
고이악,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산16,52,302,90743,말굽형(북서향),2022-02-14
골머리,제주시,제주특별자치도 제주시 노형동 산20,95,848.4,54036,원추형,2022-02-14
골체오름,제주시,제주특별자치도 제주시 조천읍 선흘리 1912,30,395.3,25726,말굽형(남서향),2022-02-14
과오름,제주시,제주특별자치도 제주시 애월읍 곽지리 산4,85,155,267254,말굽형(북서향),2022-02-14
광이오름,제주시,제주특별자치도 제주시 연동 산62,77,266.8,236701,말굽형(남동향),2022-02-14
괭이모루,제주시,제주특별자치도 제주시 구좌읍 송당리 산198,33,253.2,89301,말굽형(동북향),2022-02-14
괴수치,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산79,59,558.7,99640,원형,2022-02-14
괴오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산41,103,653.3,379587,말굽형(북향),2022-02-14
구그네오름,제주시,제주특별자치도 제주시 조천읍 와흘리 957,47,237.4,38935,원추형,2022-02-14
구두리오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158-2,117,517,451437,말굽형(동향),2022-02-14
구산봉,서귀포시,제주특별자치도 서귀포시 하원동 1180-2,69,174.2,186940,말굽형(동남향),2022-02-14
군산,서귀포시,제주특별자치도 서귀포시 안덕면 창천리 564,280,334.5,2836857,원추형(라바돔),2022-02-14
굽은오름,제주시,제주특별자치도 제주시 한경면 조수2리 3666,26,96,296443,복합형,2022-02-14
궁대악,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 4711,54,238.8,209701,복합형,2022-02-14
궁산,서귀포시,제주특별자치도 서귀포시 강정동 3712,37,187,73912,말굽형(북향),2022-02-14
권제오름,제주시,제주특별자치도 제주시 아라일동 350,28,297.7,43039,원추형,2022-02-14
궤펜이,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,167,792.1,529149,원형,2022-02-14
궷물오름,제주시,제주특별자치도 제주시 애월읍 금덕리 산136-1,57,597.2,138366,말굽형(북동향),2022-02-14
극락오름,제주시,제주특별자치도 제주시 애월읍 고성리 산3,64,313.5,131583,말굽형(북서향),2022-02-14
금산,서귀포시,제주특별자치도 서귀포시 안덕면 사계리 3152-2,34,63.5,67769,원추형,2022-02-14
금오름,제주시,제주특별자치도 제주시 한림읍 금악리 산1-1,178,427.5,613966,원형(화구호),2022-02-14
까그래기,제주시,제주특별자치도 제주시 조천읍 교래리 128,49,429,132944,원형,2022-02-14
